Benchmark Name,Paper Title,Google Scholar Link
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,https://scholar.google.com/scholar?q=TruthfulQA%3A+Measuring+How+Models+Mimic+Human+Falsehoods+Lin+Hilton+Evans
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,https://scholar.google.com/scholar?q=HaluEval%3A+A+Large-Scale+Hallucination+Evaluation+Benchmark+for+Large+Language+Models
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,https://scholar.google.com/scholar?q=TRUE%3A+Re-evaluating+Factual+Consistency+Evaluation+Honovich+Aharoni
FIB,Evaluating the Factual Consistency of Large Language Models Through News Summarization,https://scholar.google.com/scholar?q=Evaluating+the+Factual+Consistency+of+Large+Language+Models+Through+News+Summarization+Tam+Raffel
FEVER,FEVER: a Large-scale Dataset for Fact Extraction and VERification,https://scholar.google.com/scholar?q=FEVER%3A+a+Large-scale+Dataset+for+Fact+Extraction+and+VERification+Thorne+Vlachos
HalluLens,HalluLens: LLM Hallucination Benchmark,https://scholar.google.com/scholar?q=HalluLens%3A+LLM+Hallucination+Benchmark+Bang
FreshQA,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,https://scholar.google.com/scholar?q=FreshLLMs%3A+Refreshing+Large+Language+Models+with+Search+Engine+Augmentation+FreshQA
ETHICS,Aligning AI With Shared Human Values,https://scholar.google.com/scholar?q=Aligning+AI+With+Shared+Human+Values+Hendrycks
Moral Stories,Moral Stories: Situated Reasoning about Norms Intents Actions and their Consequences,https://scholar.google.com/scholar?q=Moral+Stories+Situated+Reasoning+Norms+Intents+Actions+Consequences
Jiminy Cricket,What Would Jiminy Cricket Do? Towards Agents That Behave Morally,https://scholar.google.com/scholar?q=What+Would+Jiminy+Cricket+Do+Towards+Agents+That+Behave+Morally
SCRUPLES,Scruples: A Corpus of Community Ethical Judgments on 32000 Real-Life Anecdotes,https://scholar.google.com/scholar?q=Scruples+Corpus+Community+Ethical+Judgments+32000+Real-Life+Anecdotes
MoralBench,MoralBench: Moral Evaluation of LLMs,https://scholar.google.com/scholar?q=MoralBench+Moral+Evaluation+LLMs
Social Chemistry 101,Social Chemistry 101: Learning to Reason about Social and Moral Norms,https://scholar.google.com/scholar?q=Social+Chemistry+101+Learning+Reason+Social+Moral+Norms
Delphi,Delphi: Towards Machine Ethics and Norms,https://scholar.google.com/scholar?q=Delphi+Towards+Machine+Ethics+and+Norms
STORAL,A Corpus for Understanding and Generating Moral Stories,https://scholar.google.com/scholar?q=Corpus+Understanding+Generating+Moral+Stories+Guan
Moral Integrity Corpus,The Moral Integrity Corpus: A Benchmark for Ethical Dialogue Systems,https://scholar.google.com/scholar?q=Moral+Integrity+Corpus+Benchmark+Ethical+Dialogue+Systems
TRIAGE,Medical Triage as an AI Ethics Benchmark,https://scholar.google.com/scholar?q=Medical+Triage+as+an+AI+Ethics+Benchmark
RobustBench,RobustBench: a standardized adversarial robustness benchmark,https://scholar.google.com/scholar?q=RobustBench+a+standardized+adversarial+robustness+benchmark+Croce
AutoAttack,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks,https://scholar.google.com/scholar?q=Reliable+evaluation+adversarial+robustness+ensemble+diverse+parameter-free+attacks+Croce+Hein
ImageNet-C / ImageNet-P,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations,https://scholar.google.com/scholar?q=Benchmarking+Neural+Network+Robustness+Common+Corruptions+Perturbations+Hendrycks
WILDS,WILDS: A Benchmark of in-the-Wild Distribution Shifts,https://scholar.google.com/scholar?q=WILDS+Benchmark+in-the-Wild+Distribution+Shifts+Koh
OoD-Bench,OoD-Bench: Quantifying and Understanding Two Dimensions of Out-of-Distribution Generalization,https://scholar.google.com/scholar?q=OoD-Bench+Quantifying+Understanding+Two+Dimensions+Out-of-Distribution+Generalization
SoK: Certified Robustness,SoK: Certified Robustness for Deep Neural Networks,https://scholar.google.com/scholar?q=SoK+Certified+Robustness+Deep+Neural+Networks+Li
Adversarial Robustness Benchmark,Benchmarking Adversarial Robustness on Image Classification,https://scholar.google.com/scholar?q=Benchmarking+Adversarial+Robustness+Image+Classification+Dong
