benchmark_name,benchmark_paper,title,authors,publication,year,url,pdf_url,abstract,cited_by_count,paper_type
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,A survey on evaluation of large language models,"Y Chang,X Wang,J Wang,Y Wu,L Yang… - ACM transactions on …, 2024",dl.acm.org,,https://dl.acm.org/doi/abs/10.1145/3641289,,"Large language models (LLMs) are gaining increasing popularity in both academia andindustry, owing to their unprecedented performance in various applications. As LLMs …",4405.0,Survey
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly","Y Yao,J Duan,K Xu, Y Cai,Z Sun,Y Zhang- High-Confidence Computing, 2024",Elsevier,,https://www.sciencedirect.com/science/article/pii/S266729522400014X,,"Abstract Large Language Models (LLMs), such as ChatGPT and Bard, have revolutionizednatural language understanding and generation. They possess deep language …",1335.0,Survey
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,"A survey on hallucination in large language models: Principles, taxonomy, challenges, and open questions","L Huang,W Yu,W Ma,W Zhong,Z Feng… - ACM Transactions on …, 2025",dl.acm.org,,https://dl.acm.org/doi/abs/10.1145/3703155,,"The emergence of large language models (LLMs) has marked a significant breakthrough innatural language processing (NLP), fueling a paradigm shift in information acquisition …",3037.0,Survey
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,🧜 Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models,"Y Zhang,Y Li,L Cui,D Cai,L Liu,T Fu… - Computational …, 2025",direct.mit.edu,,https://direct.mit.edu/coli/article/doi/10.1162/coli.a.16/131631,,"While large language models (LLMs) have demonstrated remarkable capabilities across arange of downstream tasks, a significant concern revolves around their propensity to exhibit …",1549.0,Survey
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Simpo: Simple preference optimization with a reference-free reward,"Y Meng,M Xia,D Chen- Advances in Neural Information …, 2024",proceedings.neurips.cc,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/e099c1c9699814af0be873a175361713-Abstract-Conference.html,,Abstract Direct Preference Optimization (DPO) is a widely used offline preferenceoptimization algorithm that reparameterizes reward functions in reinforcement learning from …,657.0,Methodology
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Llama 2: Open foundation and fine-tuned chat models,"H Touvron,L Martin,K Stone, P Albert… - arXiv preprint arXiv …, 2023",arxiv.org,,https://arxiv.org/abs/2307.09288,,"In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned largelanguage models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine …",19070.0,Methodology
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,A comprehensive overview of large language models,"H Naveed,AU Khan,S Qiu,M Saqib,S Anwar… - ACM Transactions on …, 2025",dl.acm.org,,https://dl.acm.org/doi/abs/10.1145/3744746,,Large Language Models (LLMs) have recently demonstrated remarkable capabilities innatural language processing tasks and beyond. This success of LLMs has led to a large …,1815.0,Survey
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Large language models: A survey,"S Minaee,T Mikolov,N Nikzad,M Chenaghlu… - arXiv preprint arXiv …, 2024",arxiv.org,,https://arxiv.org/abs/2402.06196,,"Large Language Models (LLMs) have drawn a lot of attention due to their strongperformance on a wide range of natural language tasks, since the release of ChatGPT in …",1504.0,Survey
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Judging llm-as-a-judge with mt-bench and chatbot arena,"L Zheng,WL Chiang,Y Sheng… - Advances in neural …, 2023",proceedings.neurips.cc,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91f18a1287b398d378ef22505bf41832-Abstract-Datasets_and_Benchmarks.html,,Evaluating large language model (LLM) based chat assistants is challenging due to theirbroad capabilities and the inadequacy of existing benchmarks in measuring human …,5891.0,Benchmark
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,A survey of large language models,"WX Zhao,K Zhou,J Li,T Tang,X Wang… - arXiv preprint arXiv …, 2023",researchgate.net,,https://www.researchgate.net/profile/Tang-Tianyi-3/publication/369740832_A_Survey_of_Large_Language_Models/links/665fd2e3637e4448a37dd281/A-Survey-of-Large-Language-Models.pdf,,"Ever since the Turing Test was proposed in the 1950s, humans have explored the masteringof language intelligence by machine. Language is essentially a complex, intricate system of …",6302.0,Survey
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,A survey of GPT-3 family large language models including ChatGPT and GPT-4,"KS Kalyan- Natural Language Processing Journal, 2024",Elsevier,,https://www.sciencedirect.com/science/article/pii/S2949719123000456,,"Large language models (LLMs) are a special class of pretrained language models (PLMs)obtained by scaling model size, pretraining corpus and computation. LLMs, because of their …",512.0,Survey
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,From google gemini to openai q*(q-star): A survey on reshaping the generative artificial intelligence (ai) research landscape,"TR McIntosh,T Susnjak,T Liu,P Watters,D Xu,D Liu… - Technologies, 2025",mdpi.com,,https://www.mdpi.com/2227-7080/13/2/51,,"This comprehensive survey explored the evolving landscape of generative ArtificialIntelligence (AI), with a specific focus on the recent technological breakthroughs and the …",250.0,Survey
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,"A survey on hallucination in large language models: Principles, taxonomy, challenges, and open questions","L Huang,W Yu,W Ma,W Zhong,Z Feng… - ACM Transactions on …, 2025",dl.acm.org,,https://dl.acm.org/doi/abs/10.1145/3703155,,"The emergence of large language models (LLMs) has marked a significant breakthrough innatural language processing (NLP), fueling a paradigm shift in information acquisition …",3037.0,Survey
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,🧜 Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models,"Y Zhang,Y Li,L Cui,D Cai,L Liu,T Fu… - Computational …, 2025",direct.mit.edu,,https://direct.mit.edu/coli/article/doi/10.1162/coli.a.16/131631,,"While large language models (LLMs) have demonstrated remarkable capabilities across arange of downstream tasks, a significant concern revolves around their propensity to exhibit …",1549.0,Survey
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,Large language models: A survey,"S Minaee,T Mikolov,N Nikzad,M Chenaghlu… - arXiv preprint arXiv …, 2024",arxiv.org,,https://arxiv.org/abs/2402.06196,,"Large Language Models (LLMs) have drawn a lot of attention due to their strongperformance on a wide range of natural language tasks, since the release of ChatGPT in …",1504.0,Survey
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,A survey of large language models,"WX Zhao,K Zhou,J Li,T Tang,X Wang… - arXiv preprint arXiv …, 2023",researchgate.net,,https://www.researchgate.net/profile/Tang-Tianyi-3/publication/369740832_A_Survey_of_Large_Language_Models/links/665fd2e3637e4448a37dd281/A-Survey-of-Large-Language-Models.pdf,,"Ever since the Turing Test was proposed in the 1950s, humans have explored the masteringof language intelligence by machine. Language is essentially a complex, intricate system of …",6302.0,Survey
