benchmark_name,benchmark_paper,title,authors,publication,year,url,pdf_url,abstract,cited_by_count,paper_type
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Simpo: Simple preference optimization with a reference-free reward,"Y Meng,M Xia,D Chen- Advances in Neural Information …, 2024",proceedings.neurips.cc,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/e099c1c9699814af0be873a175361713-Abstract-Conference.html,,Abstract Direct Preference Optimization (DPO) is a widely used offline preferenceoptimization algorithm that reparameterizes reward functions in reinforcement learning from …,657.0,Methodology
TruthfulQA,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Llama 2: Open foundation and fine-tuned chat models,"H Touvron,L Martin,K Stone, P Albert… - arXiv preprint arXiv …, 2023",arxiv.org,,https://arxiv.org/abs/2307.09288,,"In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned largelanguage models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine …",19070.0,Methodology
HaluEval,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,Ragas: Automated evaluation of retrieval augmented generation,"S Es,J James,LE Anke… - Proceedings of the 18th …, 2024",aclanthology.org,,https://aclanthology.org/2024.eacl-demo.16/,,"Abstract We introduce RAGAs (Retrieval Augmented Generation Assessment), a frameworkfor reference-free evaluation of Retrieval Augmented Generation (RAG) pipelines. RAGAs is …",795.0,Methodology
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,Detecting hallucinations in large language models using semantic entropy,"S Farquhar,J Kossen,L Kuhn,Y Gal- Nature, 2024",nature.com,,https://www.nature.com/articles/s41586-024-07421-0,,"Large language model (LLM) systems, such as ChatGPT or Gemini, can show impressivereasoning and question-answering capabilities but often 'hallucinate'false outputs and …",772.0,Methodology
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,Enabling large language models to generate text with citations,"T Gao,H Yen,J Yu,D Chen- arXiv preprint arXiv:2305.14627, 2023",arxiv.org,,https://arxiv.org/abs/2305.14627,,"Large language models (LLMs) have emerged as a widely-used tool for informationseeking, but their generated outputs are prone to hallucination. In this work, our aim is to …",437.0,Methodology
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,"Rarr: Researching and revising what language models say, using language models","L Gao,Z Dai,P Pasupat,A Chen,AT Chaganty… - arXiv preprint arXiv …, 2022",arxiv.org,,https://arxiv.org/abs/2210.08726,,"Language models (LMs) now excel at many tasks such as few-shot learning, questionanswering, reasoning, and dialog. However, they sometimes generate unsupported or …",395.0,Methodology
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,Making retrieval-augmented language models robust to irrelevant context,"O Yoran,T Wolfson,O Ram,J Berant- arXiv preprint arXiv:2310.01558, 2023",arxiv.org,,https://arxiv.org/abs/2310.01558,,"Retrieval-augmented language models (RALMs) hold promise to produce languageunderstanding systems that are are factual, efficient, and up-to-date. An important …",259.0,Methodology
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,Does fine-tuning llms on new knowledge encourage hallucinations?,"Z Gekhman,G Yona,R Aharoni,M Eyal… - arXiv preprint arXiv …, 2024",arxiv.org,,https://arxiv.org/abs/2405.05904,,"When large language models are aligned via supervised fine-tuning, they may encounternew factual information that was not acquired through pre-training. It is often conjectured that …",198.0,Methodology
TRUE,TRUE: Re-evaluating Factual Consistency Evaluation,AlignScore: Evaluating factual consistency with a unified alignment function,"Y Zha,Y Yang,R Li,Z Hu- arXiv preprint arXiv:2305.16739, 2023",arxiv.org,,https://arxiv.org/abs/2305.16739,,Many text generation applications require the generated text to be factually consistent withinput information. Automatic evaluation of factual consistency is challenging. Previous work …,271.0,Methodology
FIB,Evaluating the Factual Consistency of Large Language Models Through News Summarization,Trustllm: Trustworthiness in large language models,"Y Huang,L Sun,H Wang, S Wu,Q Zhang, Y Li… - arXiv preprint arXiv …, 2024",arxiv.org,,https://arxiv.org/abs/2401.05561,,"Large language models (LLMs), exemplified by ChatGPT, have gained considerableattention for their excellent natural language processing capabilities. Nonetheless, these …",487.0,Methodology
