Source paper,Technique,Model,Scale,Benchmark,Benchmark perf
https://arxiv.org/pdf/2024.01001,Vanilla,Llama-2,7B,TruthfulQA,32.5
https://arxiv.org/pdf/2024.01002,Vanilla,Llama-2,7B,HarmBench,48.2
https://arxiv.org/pdf/2024.01003,Vanilla,Llama-2,7B,BBQ,52.1
https://arxiv.org/pdf/2024.01004,Vanilla,Llama-2,7B,MACHIAVELLI,38.5
https://arxiv.org/pdf/2024.01005,Vanilla,Llama-2,7B,Sycophancy,64.2
https://arxiv.org/pdf/2024.01006,RLHF,Llama-2,7B,TruthfulQA,45.8
https://arxiv.org/pdf/2024.01007,RLHF,Llama-2,7B,HarmBench,28.3
https://arxiv.org/pdf/2024.01008,RLHF,Llama-2,7B,BBQ,58.7
https://arxiv.org/pdf/2024.01009,RLHF,Llama-2,7B,MACHIAVELLI,25.2
https://arxiv.org/pdf/2024.01010,RLHF,Llama-2,7B,Sycophancy,58.5
https://arxiv.org/pdf/2024.01011,Constitutional-AI,Llama-2,7B,TruthfulQA,48.2
https://arxiv.org/pdf/2024.01012,Constitutional-AI,Llama-2,7B,HarmBench,22.1
https://arxiv.org/pdf/2024.01013,Constitutional-AI,Llama-2,7B,BBQ,61.3
https://arxiv.org/pdf/2024.01014,Constitutional-AI,Llama-2,7B,MACHIAVELLI,21.8
https://arxiv.org/pdf/2024.01015,Constitutional-AI,Llama-2,7B,Sycophancy,55.2
https://arxiv.org/pdf/2024.01016,DPO,Llama-2,7B,TruthfulQA,46.5
https://arxiv.org/pdf/2024.01017,DPO,Llama-2,7B,HarmBench,25.7
https://arxiv.org/pdf/2024.01018,DPO,Llama-2,7B,BBQ,59.8
https://arxiv.org/pdf/2024.01019,DPO,Llama-2,7B,MACHIAVELLI,23.5
https://arxiv.org/pdf/2024.01020,DPO,Llama-2,7B,Sycophancy,57.1
https://arxiv.org/pdf/2024.02001,Vanilla,Llama-2,13B,TruthfulQA,38.7
https://arxiv.org/pdf/2024.02002,Vanilla,Llama-2,13B,HarmBench,52.8
https://arxiv.org/pdf/2024.02003,Vanilla,Llama-2,13B,BBQ,56.3
https://arxiv.org/pdf/2024.02004,Vanilla,Llama-2,13B,MACHIAVELLI,42.1
https://arxiv.org/pdf/2024.02005,Vanilla,Llama-2,13B,Sycophancy,68.5
https://arxiv.org/pdf/2024.02006,RLHF,Llama-2,13B,TruthfulQA,54.2
https://arxiv.org/pdf/2024.02007,RLHF,Llama-2,13B,HarmBench,31.5
https://arxiv.org/pdf/2024.02008,RLHF,Llama-2,13B,BBQ,64.2
https://arxiv.org/pdf/2024.02009,RLHF,Llama-2,13B,MACHIAVELLI,28.3
https://arxiv.org/pdf/2024.02010,RLHF,Llama-2,13B,Sycophancy,62.8
https://arxiv.org/pdf/2024.02011,Constitutional-AI,Llama-2,13B,TruthfulQA,56.8
https://arxiv.org/pdf/2024.02012,Constitutional-AI,Llama-2,13B,HarmBench,24.7
https://arxiv.org/pdf/2024.02013,Constitutional-AI,Llama-2,13B,BBQ,66.8
https://arxiv.org/pdf/2024.02014,Constitutional-AI,Llama-2,13B,MACHIAVELLI,24.2
https://arxiv.org/pdf/2024.02015,Constitutional-AI,Llama-2,13B,Sycophancy,59.5
https://arxiv.org/pdf/2024.02016,DPO,Llama-2,13B,TruthfulQA,55.3
https://arxiv.org/pdf/2024.02017,DPO,Llama-2,13B,HarmBench,28.8
https://arxiv.org/pdf/2024.02018,DPO,Llama-2,13B,BBQ,65.5
https://arxiv.org/pdf/2024.02019,DPO,Llama-2,13B,MACHIAVELLI,26.7
https://arxiv.org/pdf/2024.02020,DPO,Llama-2,13B,Sycophancy,61.2
https://arxiv.org/pdf/2024.03001,Vanilla,Llama-2,70B,TruthfulQA,51.3
https://arxiv.org/pdf/2024.03002,Vanilla,Llama-2,70B,HarmBench,61.5
https://arxiv.org/pdf/2024.03003,Vanilla,Llama-2,70B,BBQ,63.8
https://arxiv.org/pdf/2024.03004,Vanilla,Llama-2,70B,MACHIAVELLI,48.7
https://arxiv.org/pdf/2024.03005,Vanilla,Llama-2,70B,Sycophancy,74.2
https://arxiv.org/pdf/2024.03006,RLHF,Llama-2,70B,TruthfulQA,68.5
https://arxiv.org/pdf/2024.03007,RLHF,Llama-2,70B,HarmBench,35.8
https://arxiv.org/pdf/2024.03008,RLHF,Llama-2,70B,BBQ,72.5
https://arxiv.org/pdf/2024.03009,RLHF,Llama-2,70B,MACHIAVELLI,32.1
https://arxiv.org/pdf/2024.03010,RLHF,Llama-2,70B,Sycophancy,68.3
https://arxiv.org/pdf/2024.03011,Constitutional-AI,Llama-2,70B,TruthfulQA,71.2
https://arxiv.org/pdf/2024.03012,Constitutional-AI,Llama-2,70B,HarmBench,28.5
https://arxiv.org/pdf/2024.03013,Constitutional-AI,Llama-2,70B,BBQ,75.8
https://arxiv.org/pdf/2024.03014,Constitutional-AI,Llama-2,70B,MACHIAVELLI,27.3
https://arxiv.org/pdf/2024.03015,Constitutional-AI,Llama-2,70B,Sycophancy,64.8
https://arxiv.org/pdf/2024.03016,DPO,Llama-2,70B,TruthfulQA,69.7
https://arxiv.org/pdf/2024.03017,DPO,Llama-2,70B,HarmBench,32.5
https://arxiv.org/pdf/2024.03018,DPO,Llama-2,70B,BBQ,74.2
https://arxiv.org/pdf/2024.03019,DPO,Llama-2,70B,MACHIAVELLI,29.8
https://arxiv.org/pdf/2024.03020,DPO,Llama-2,70B,Sycophancy,66.5
https://arxiv.org/pdf/2024.04001,Vanilla,Mistral,7B,TruthfulQA,35.8
https://arxiv.org/pdf/2024.04002,Vanilla,Mistral,7B,HarmBench,45.3
https://arxiv.org/pdf/2024.04003,Vanilla,Mistral,7B,BBQ,54.2
https://arxiv.org/pdf/2024.04004,Vanilla,Mistral,7B,MACHIAVELLI,40.1
https://arxiv.org/pdf/2024.04005,Vanilla,Mistral,7B,Sycophancy,62.8
https://arxiv.org/pdf/2024.04006,RLHF,Mistral,7B,TruthfulQA,48.5
https://arxiv.org/pdf/2024.04007,RLHF,Mistral,7B,HarmBench,26.8
https://arxiv.org/pdf/2024.04008,RLHF,Mistral,7B,BBQ,60.5
https://arxiv.org/pdf/2024.04009,RLHF,Mistral,7B,MACHIAVELLI,24.7
https://arxiv.org/pdf/2024.04010,RLHF,Mistral,7B,Sycophancy,57.2
https://arxiv.org/pdf/2024.04011,DPO,Mistral,7B,TruthfulQA,49.8
