Source paper,Technique,Model,Scale,Benchmark,Baseline perf,Benchmark perf
https://arxiv.org/pdf/2503.17365v1,ICL,DeepSeek-R1 Distill Llama 8B,8B,HarmBench ASR,46.70,8.90
https://arxiv.org/pdf/2503.17365v1,ICL,Gemma-2 9B-it,9B,HarmBench ASR,58.90,26.70
https://arxiv.org/pdf/2503.17365v1,ICL,Llama 3.1 8B Instruct,8B,HarmBench ASR,70.00,18.90
https://arxiv.org/pdf/2503.17365v1,ICL,Qwen2.5 7B Instruct,7B,HarmBench ASR,81.10,56.70
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,ToxiGen,77.30,7.00
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,XSTest,40,89
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,Harmbench,54,68
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,DoAnythingNow,43,65
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,TruthfulQA,26.70,40.80
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,ToxiGen,77.30,14.70
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,TruthfulQA,26.70,44.60
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,Harmbench,54,79
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,DoAnythingNow,43,75
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,XSTest,40,86
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,ToxiGen,77.30,0.50
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,XSTest,40,89
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,Harmbench,54,71.8
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,DoAnythingNow,43,73
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,BIO,0.8509803921568627,0.44705882352941173
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,CHEM,0.8414634146341463,0.6707317073170731
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,CYBER,0.9219143576826196,0.6171284634760705
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,BIO,0.8509803921568627,0.3647058823529412
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,CHEM,0.8414634146341463,0.6097560975609756
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,CYBER,0.9219143576826196,0.6045340050377834
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-7B,7B,ToxiGen,77.30,39.90
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-7B,7B,TruthfulQA,26.70,40.80
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-7B,7B,ToxiGen,77.30,7.00
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-7B,7B,TruthfulQA,26.70,50.20
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,ToxiGen,85.70,1.70
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,XSTest,66,89
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,DoAnythingNow,55,67
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,Harmbench,62.1,73.1
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,TruthfulQA,31.10,55.80
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,ToxiGen,85.70,0.00
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,TruthfulQA,31.10,55.20
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,ToxiGen,85.70,1.10
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,XSTest,66,86
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,DoAnythingNow,55,75
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,Harmbench,62.1,78.8
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,BIO,0.803921568627451,0.39607843137254906
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,CHEM,0.7682926829268293,0.5365853658536586
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,CYBER,0.8564231738035264,0.5642317380352645
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,BIO,0.803921568627451,0.38431372549019605
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,CHEM,0.7682926829268293,0.5731707317073171
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,CYBER,0.8564231738035264,0.6045340050377834
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-13B,13B,ToxiGen,85.70,18.70
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-13B,13B,TruthfulQA,31.10,45.30
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-13B,13B,ToxiGen,85.70,1.70
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-13B,13B,TruthfulQA,31.10,55.80
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,70B,ToxiGen,84.20,0.50
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,70B,TruthfulQA,38.20,62.20
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,70B,Harmbench,57.8,76.2
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,70B,ToxiGen,84.20,0.50
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,70B,TruthfulQA,38.20,58.40
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,70B,ToxiGen,84.20,0.20
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,70B,Harmbench,57.8,78.1
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,ToxiGen,84.20,0.00
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,TruthfulQA,38.20,57.90
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,ToxiGen,84.20,0.50
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,TruthfulQA,38.20,62.20
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,ToxiGen,57,0
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,ToxiGen,57,0
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,ToxiGen,57,0
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,BIO,0.7686274509803921,0.26274509803921564
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,CHEM,0.7439024390243902,0.5
