Source paper,Technique,Model,Scale,Benchmark,Benchmark perf
https://arxiv.org/pdf/2403.03218,Baseline,ZEPHYR-7B,7B, BIO,0.637
https://arxiv.org/pdf/2403.03218,Baseline,ZEPHYR-7B,7B,CHEM,0.458
https://arxiv.org/pdf/2403.03218,Baseline,ZEPHYR-7B,7B,MMLU,0.581
https://arxiv.org/pdf/2403.03218,Baseline,ZEPHYR-7B,7B,Cyber,0.44
https://arxiv.org/pdf/2403.03218,LLMU,ZEPHYR-7B,7B,BIO,0.595
https://arxiv.org/pdf/2403.03218,LLMU,ZEPHYR-7B,7B,CHEM,0.414
https://arxiv.org/pdf/2403.03218,LLMU,ZEPHYR-7B,7B,MMLU,0.447
https://arxiv.org/pdf/2403.03218,LLMU,ZEPHYR-7B,7B,CYBER,0.395
https://arxiv.org/pdf/2403.03218,SCRUB,ZEPHYR-7B,7B,BIO,0.438
https://arxiv.org/pdf/2403.03218,SCRUB,ZEPHYR-7B,7B,CHEM,0.404
https://arxiv.org/pdf/2403.03218,SCRUB,ZEPHYR-7B,7B,MMLU,0.512
https://arxiv.org/pdf/2403.03218,SCRUB,ZEPHYR-7B,7B,CYBER,0.393
https://arxiv.org/pdf/2403.03218,SSD,ZEPHYR-7B,7B,BIO,0.502
https://arxiv.org/pdf/2403.03218,SSD,ZEPHYR-7B,7B,CHEM,0.338
https://arxiv.org/pdf/2403.03218,SSD,ZEPHYR-7B,7B,MMLU,0.407
https://arxiv.org/pdf/2403.03218,SSD,ZEPHYR-7B,7B,CYBER,0.35
https://arxiv.org/pdf/2403.03218,RMU ,ZEPHYR-7B,7B,BIO,0.312
https://arxiv.org/pdf/2403.03218,RMU ,ZEPHYR-7B,7B,CHEM,0.458
https://arxiv.org/pdf/2403.03218,RMU ,ZEPHYR-7B,7B,MMLU,0.571
https://arxiv.org/pdf/2403.03218,RMU ,ZEPHYR-7B,7B,CYBER,0.282
https://arxiv.org/pdf/2403.03218,Baseline,Y1-34B,34B,BIO,0.753
https://arxiv.org/pdf/2403.03218,Baseline,Y1-34B,34B,CHEM,0.586
https://arxiv.org/pdf/2403.03218,Baseline,Y1-34B,34B,MMLU,0.726
https://arxiv.org/pdf/2403.03218,Baseline,Y1-34B,34B,CYBER,0.497
https://arxiv.org/pdf/2403.03218,RMU ,Y1-34B,34B,BIO,0.307
https://arxiv.org/pdf/2403.03218,RMU ,Y1-34B,34B,CHEM,0.554
https://arxiv.org/pdf/2403.03218,RMU ,Y1-34B,34B,MMLU,0.706
https://arxiv.org/pdf/2403.03218,RMU ,Y1-34B,34B,CYBER,0.29
https://arxiv.org/pdf/2403.03218,Baseline,MIXTRAL-8X7B,47B,BIO,0.748
https://arxiv.org/pdf/2403.03218,Baseline,MIXTRAL-8X7B,47B,CHEM,0.552
https://arxiv.org/pdf/2403.03218,Baseline,MIXTRAL-8X7B,47B,MMLU,0.682
https://arxiv.org/pdf/2403.03218,Baseline,MIXTRAL-8X7B,47B,Cyber,0.52
https://arxiv.org/pdf/2403.03218,RMU ,MIXTRAL-8X7B,47B,BIO,0.34
https://arxiv.org/pdf/2403.03218,RMU ,MIXTRAL-8X7B,47B,CHEM,0.547
https://arxiv.org/pdf/2403.03218,RMU ,MIXTRAL-8X7B,47B,MMLU,0.671
https://arxiv.org/pdf/2403.03218,RMU ,MIXTRAL-8X7B,47B,Cyber,0.308
https://proceedings.neurips.cc/paper_files/paper/2024/file/d6359156e0e30b1caa116a4306b12688-Paper-Conference.pdf,Baseline,Zephyr-7B,7B,Bio,0.642
https://proceedings.neurips.cc/paper_files/paper/2024/file/d6359156e0e30b1caa116a4306b12688-Paper-Conference.pdf,Baseline,Zephyr-7B,7B,Chem,0.483
