Rank,Previous_Rank,Model,Provider,None_Score,None_Trials,None_Risks,ABJ_Score,ABJ_Trials,ABJ_Risks,Adaptive_Score,Adaptive_Trials,Adaptive_Risks,ArtPrompt_Score,ArtPrompt_Trials,ArtPrompt_Risks,AutoDAN_Score,AutoDAN_Trials,AutoDAN_Risks,Cipher_Score,Cipher_Trials,Cipher_Risks,DAN_Score,DAN_Trials,DAN_Risks,DeepInception_Score,DeepInception_Trials,DeepInception_Risks,Developer_Score,Developer_Trials,Developer_Risks,DRA_Score,DRA_Trials,DRA_Risks,DrAttack_Score,DrAttack_Trials,DrAttack_Risks,GCG_Score,GCG_Trials,GCG_Risks,GPTFuzzer_Score,GPTFuzzer_Trials,GPTFuzzer_Risks,Grandmother_Score,Grandmother_Trials,Grandmother_Risks,Masterkey_Score,Masterkey_Trials,Masterkey_Risks,Multilingual_Score,Multilingual_Trials,Multilingual_Risks,PAIR_Score,PAIR_Trials,PAIR_Risks,PastTense_Score,PastTense_Trials,PastTense_Risks,Psychology_Score,Psychology_Trials,Psychology_Risks,ReNeLLM_Score,ReNeLLM_Trials,ReNeLLM_Risks,TAP_Score,TAP_Trials,TAP_Risks,Overall_Score,Overall_Trials,Overall_Risks,Release_Date,Model_Size
1,1,anthropic/claude-3-opus,anthropic,94.88,638,24,100.0,359,0,96.41,359,7,100.0,359,0,100.0,359,0,100.0,359,0,100.0,359,0,100.0,359,0,99.72,359,1,100.0,359,0,99.83,580,1,100.0,359,0,100.0,348,0,100.0,359,0,100.0,359,0,100.0,359,0,100.0,359,0,99.44,359,1,100.0,359,0,99.15,351,3,100.0,359,0,99.36,8020,37,2024-03-04,
2,2,anthropic/claude-3-5-sonnet-20240620,anthropic,99.25,399,3,100.0,359,0,96.68,359,8,99.44,359,2,100.0,359,0,100.0,359,0,100.0,359,0,99.72,359,1,100.0,359,0,99.44,359,1,97.13,348,10,99.44,359,1,100.0,348,0,100.0,359,0,100.0,359,0,100.0,359,0,99.44,359,2,100.0,359,0,100.0,359,0,97.15,351,10,99.72,359,1,99.1,7549,39,2024-06-20,
3,3,anthropic/claude-3-sonnet,anthropic,95.34,468,16,100.0,359,0,80.94,359,40,100.0,359,0,98.89,359,4,99.17,359,2,100.0,359,0,100.0,359,0,99.44,359,2,99.72,359,1,96.84,348,11,99.44,359,1,99.43,348,1,99.16,359,3,100.0,359,0,100.0,359,0,100.0,359,0,100.0,359,0,100.0,359,0,99.15,351,3,100.0,359,0,97.66,7618,84,2024-03-04,
4,4,anthropic/claude-3-7-sonnet-20250219,anthropic,100.0,152,0,98.43,127,1,90.72,127,9,96.85,127,4,100.0,127,0,100.0,127,0,100.0,127,0,100.0,127,0,100.0,127,0,100.0,127,0,94.83,116,6,100.0,127,0,98.28,116,1,98.43,127,2,99.21,127,1,100.0,127,0,100.0,127,0,100.0,127,0,98.43,127,1,88.33,119,13,100.0,127,0,97.43,2662,38,2025-02-19,
5,5,anthropic/claude-3-5-sonnet-20241022,anthropic,91.81,263,12,99.21,127,1,85.56,127,12,100.0,127,0,100.0,127,0,99.21,127,1,96.1,127,3,98.43,127,1,100.0,127,0,100.0,127,0,97.41,116,3,100.0,127,0,96.58,116,2,99.21,127,1,100.0,127,0,100.0,127,0,99.21,127,1,100.0,127,0,100.0,127,0,94.16,119,6,97.65,127,2,97.06,2773,45,2024-10-22,
6,6,meta-llama/Meta-Llama-3.1-405B-Instruct,meta-llama,96.31,404,11,100.0,232,0,99.14,232,1,99.57,232,1,100.0,232,0,100.0,232,0,100.0,232,0,87.5,232,29,100.0,232,0,100.0,232,0,93.97,232,14,99.14,232,2,96.58,232,5,93.53,232,15,97.84,232,5,100.0,232,0,88.36,232,27,98.71,232,3,82.76,116,20,97.41,232,6,92.67,232,17,96.51,4928,156,2024-07-23,405B
7,7,OpenAI/o1-preview-2024-09-12,OpenAI,97.79,272,6,75.86,232,56,99.14,232,1,100.0,232,0,96.12,232,9,100.0,232,0,100.0,232,0,98.28,232,4,100.0,232,0,85.46,232,21,97.84,464,10,100.0,232,0,100.0,232,0,99.57,232,1,100.0,232,0,100.0,232,0,100.0,232,0,100.0,232,0,100.0,348,0,96.55,232,8,100.0,232,0,96.28,5260,116,2024-09-12,
8,8,OpenAI/o3-mini-2025-01-31,OpenAI,99.21,127,1,86.61,127,17,100.0,127,0,100.0,127,0,98.43,127,2,100.0,127,0,100.0,127,0,85.83,127,18,100.0,127,0,95.28,254,12,93.16,116,7,99.21,127,1,100.0,116,0,98.43,127,2,100.0,127,0,100.0,127,0,100.0,127,0,100.0,127,0,100.0,127,0,91.6,119,10,100.0,127,0,96.11,2764,70,2025-01-31,
9,9,OpenAI/o1-mini-2024-09-12,OpenAI,97.08,272,5,97.7,348,8,100.0,232,0,99.14,232,2,88.36,232,27,100.0,232,0,99.57,232,1,82.33,232,41,100.0,232,0,86.16,348,42,95.26,232,11,99.14,232,2,100.0,232,0,99.57,232,1,100.0,232,0,100.0,232,0,100.0,232,0,100.0,232,0,100.0,232,0,88.79,232,26,100.0,232,0,95.34,5144,166,2024-09-12,
10,10,anthropic/claude-3-haiku,anthropic,96.32,809,21,100.0,359,0,78.18,475,59,100.0,359,0,100.0,359,0,92.07,359,19,100.0,359,0,85.47,475,69,99.44,359,1,100.0,359,0,92.84,348,24,99.72,359,1,100.0,348,0,94.15,359,21,100.0,359,0,100.0,359,0,98.05,359,7,100.0,359,0,100.0,359,0,86.32,351,48,96.94,359,11,93.94,8191,281,2024-03-13,
